fold;rank;feature
5;28;LLUVIA_MAX_30D_PREV
5;29;LLUVIA_TOTAL_14D_PREV
5;30;WX_VPD_MEAN
5;31;VPD_MAX
5;32;LLUVIA_LAG_14D
5;33;MES
5;34;LLUVIA_LAG_7D
5;35;DIAS_SECOS_30D_PREV
5;36;EVENTOS_rolling_std_7d
5;37;HUM_MEDIA_lag_1
5;38;LLUVIA_MAX_7D_PREV
5;39;EVENTOS_rolling_std_3d
5;40;DIAS_DESDE_ULTIMA_LLUVIA
5;41;WX_VISIBILITY_MIN
5;42;N_INCENDIO_ESTR_lag_1
5;43;WX_ET0_SUM
5;44;LLUVIA_LAG_1D
5;45;DIA_COS
5;46;LLUVIA_LAG_5D
5;47;WX_GUST_MEAN
5;48;LLUVIA_DESV_3D_PREV
5;49;LLUVIA_MAX_14D_PREV
5;50;DIA_VIERNES
5;51;WX_WIND_RAIN_INDEX
5;52;VIENTO_SKEW
5;53;WX_PRESSURE_RANGE
5;54;DIA_SIN
5;55;LLUVIA_PROMEDIO_3D_PREV
5;56;N_RESCATE_PERS_lag_1
5;57;LLUVIA_PROMEDIO_14D_PREV
5;58;N_INCENDIO_FOREST_lag_1
5;59;LLUVIA_LAG_10D
5;60;HUM_SKEW
5;61;LLUVIA_LAG_2D
5;62;HUM_KURT
5;63;TEMP_HUM_INDEX
5;64;LLUVIA_MAX_3D_PREV
5;65;DIA_SEMANA
5;66;LLUVIA_PROMEDIO_7D_PREV
5;67;LLUVIA_TOTAL_7D_PREV
5;68;WX_CAPE_MEAN
5;69;EVENTOS_lag_2
5;70;HUM_MAX
5;71;WX_DEWPOINT_MEAN
5;72;WX_CAPE_MAX
5;73;EVENTOS_rolling_max_7d
5;74;TEMP_MAX
5;75;TEMP_MEDIA
5;76;EVENTOS_lag_7
5;77;ES_FERIADO
5;78;LLUVIA_DESV_14D_PREV
5;79;LLUVIA_DESV_7D_PREV
5;80;N_GASES_lag_1
5;81;EVENTOS_lag_3
5;82;DIA_JUEVES
5;83;WX_HUMIDITY_MIN
5;84;TEMP_SKEW
5;85;LLUVIA_LAG_3D
5;86;WX_PRECIP_MAX_HOURLY
5;87;MES_COS
5;88;TEMP_KURT
5;89;VIENTO_KURT
5;90;HUM_MEDIA
5;91;HUM_MIN
5;92;TEMP_MIN
5;93;WX_WIND_MAX
5;94;DIA_DOMINGO
5;95;ES_FIN_SEMANA
5;96;DIAS_SECOS_7D_PREV
5;97;DIAS_SECOS_3D_PREV
5;98;DIAS_SECOS_14D_PREV
5;99;N_RESCATE_VEH_lag_1
5;100;LLUVIA_TOTAL_3D_PREV
5;101;ES_FERIADO_IRRENUNCIABLE
5;102;ES_PRE_FERIADO
5;103;DIA_LUNES
5;104;DIA_MARTES
5;105;DIA_MIERCOLES
5;106;DIA_SABADO
5;107;WX_LOW_HUMIDITY_HOURS
5;108;WX_TEMP_MAX
6;1;WX_HEAVY_RAIN_HOURS
6;2;STORM_COMPOUND_INDEX
6;3;WX_FIRE_WEATHER_INDEX
6;4;WX_PRECIP_HOURS
6;5;ES_FERIADO
6;6;EVENTOS_lag_1
6;7;VIENTO_MEDIO_lag_1
6;8;EVENTOS_rolling_mean_30d
6;9;MES_SIN
6;10;LLUVIA
6;11;EVENTOS_rolling_mean_14d
6;12;WX_GUST_MAX
6;13;WX_PRESSURE_MEAN
6;14;EVENTOS_rolling_mean_7d
6;15;LLUVIA_DESV_30D_PREV
6;16;EVENTOS_rolling_max_3d
6;17;EVENTOS_rolling_mean_3d
