candidate;feature_count;mae;rmse;r2;high_auc;actual_mean;prediction_mean;actual_std;prediction_std;std_ratio;p05;p95;p05_p95_width;width_ratio;boring_4_5_share;min_prediction;max_prediction;confirm_mae;confirm_rmse;confirm_r2;confirm_high_auc;confirm_actual_mean;confirm_prediction_mean;confirm_actual_std;confirm_prediction_std;confirm_std_ratio;confirm_p05;confirm_p95;confirm_p05_p95_width;confirm_width_ratio;confirm_boring_4_5_share;confirm_min_prediction;confirm_max_prediction
d3_all_v2;141;2.2647742294602926;2.9286574159225487;0.13504439512617017;0.6445927425036184;5.215277777777778;5.129890514413516;3.1511818531385956;1.190815023891116;0.37789473263977363;3.6657010674476624;7.311409664154052;3.6457085967063896;0.36457085967063896;0.6861111111111111;2.695282220840454;15.32435131072998;2.1218631277481714;2.615808748875091;0.0034352043171691493;0.6655810317873893;4.725;5.020959221323332;2.6257893812103412;1.1251735070137245;0.42850866678997795;3.559302043914795;6.926380872726433;3.3670788288116382;0.3741198698679598;0.6791666666666667;3.2214412689208984;10.149470329284668
d2_base;108;2.2448996447854572;2.9170441677771475;0.14189055473141066;0.6540072498110693;5.215277777777778;4.9810965402258764;3.1511818531385956;1.1980800257411421;0.38020021743519733;3.3942230463027956;7.155799651145931;3.7615766048431354;0.37615766048431354;0.6583333333333333;2.40927791595459;14.19432258605957;2.0944588512182234;2.60567919616379;0.011138527416338806;0.6650599270453361;4.725;4.924629146854083;2.6257893812103412;1.125354674777462;0.42857766233281697;3.4633931517601013;6.793148589134214;3.3297554373741125;0.36997282637490136;0.6291666666666667;2.9628214836120605;10.20828914642334
d2_history_core5;113;2.2474015669690237;2.9076341772322234;0.14741791543820648;0.6555827387890509;5.215277777777778;5.038713518447346;3.1511818531385956;1.2697634542168938;0.4029483264992155;3.4353076100349424;7.31626238822937;3.880954778194427;0.3880954778194427;0.65;2.4468939304351807;14.46630859375;2.11474839647611;2.6242207011355343;-0.0029846340288171014;0.6543772798332465;4.725;4.968341928720474;2.6257893812103412;1.1607233194815407;0.44204738117514686;3.495005714893341;7.115245676040646;3.6202399611473055;0.4022488845719228;0.6166666666666667;3.073643684387207;10.195454597473145
d2_history_core10;118;2.254937608043353;2.921509806672391;0.13926122184357037;0.6492167386097271;5.215277777777778;5.006456144319641;3.1511818531385956;1.2311845216758235;0.3907056396791434;3.4188584327697753;7.14631381034851;3.727455377578735;0.3727455377578735;0.6583333333333333;2.3711330890655518;14.062952041625977;2.1250517000754674;2.6210279286789504;-0.0005455452253642079;0.6504689942678479;4.725;4.9139160305261615;2.6257893812103412;1.0903065997963424;0.4152300285766912;3.484466528892517;6.983403730392456;3.4989372014999387;0.3887708001666599;0.6833333333333333;3.2190487384796143;9.697943687438965
d2_history_core15;123;2.252404472894139;2.9214981242042453;0.13926810563579983;0.6517400827451935;5.215277777777778;5.019877624180582;3.1511818531385956;1.222951477957162;0.3880929552634657;3.4544055104255675;7.220684194564819;3.7662786841392513;0.37662786841392515;0.6708333333333333;2.5228796005249023;13.87332534790039;2.132970310250918;2.6416928135274462;-0.016384877901637562;0.6418707660239709;4.725;4.935350168744723;2.6257893812103412;1.1374025577453153;0.43316595225967314;3.4567416071891786;6.929871177673339;3.47312957048416;0.3859032856093511;0.6625;2.8536293506622314;10.236237525939941
d2_history_core10_calendar;125;2.2563639693790014;2.923848753211844;0.13788246359343104;0.6475643965108684;5.215277777777778;5.022286713785595;3.1511818531385956;1.240456998705356;0.39364817916485956;3.4251342892646788;7.1926281452178955;3.7674938559532167;0.3767493855953217;0.6680555555555555;2.3103582859039307;13.839150428771973;2.127310414115588;2.632330940574736;-0.009193727201928459;0.65372589890568;4.725;4.948734679818154;2.6257893812103412;1.1506414905767215;0.4382078390637487;3.521190083026886;7.030152869224547;3.5089627861976607;0.3898847540219623;0.6625;2.866487503051758;10.156472206115723
d2_weekly;119;2.2459541496303346;2.921035805741958;0.13954050064899193;0.6516248030638778;5.215277777777778;4.98523178199927;3.1511818531385956;1.1955168910631344;0.3793868290630046;3.4994332075119017;7.181160974502562;3.6817277669906607;0.36817277669906606;0.6708333333333333;2.1423189640045166;13.86196231842041;2.108314820130666;2.611806797388226;0.006482180263978843;0.6522928608650339;4.725;4.87129798134168;2.6257893812103412;1.0575325010466863;0.4027484110546686;3.553308880329132;6.8296800136566125;3.2763711333274803;0.3640412370363867;0.6708333333333333;2.934333324432373;9.396978378295898
d2_regime;121;2.2521986931562425;2.924609331764518;0.13743388129807077;0.6466805856207811;5.215277777777778;5.054431925548448;3.1511818531385956;1.2514219370767345;0.3971278064546833;3.457378625869751;7.238158202171324;3.7807795763015735;0.37807795763015734;0.6583333333333333;2.6978812217712402;15.033533096313477;2.113839007417361;2.6260512269424656;-0.004384386422457975;0.6453882230328296;4.725;4.951559872428576;2.6257893812103412;1.1370807088623316;0.4330433800209068;3.5034233927726746;6.955709218978881;3.4522858262062064;0.3835873140229118;0.6583333333333333;3.0415916442871094;10.054200172424316
d2_history_all;132;2.2493697802225747;2.898870145485816;0.15254978215115056;0.6542506180271803;5.215277777777778;5.0400328106350365;3.1511818531385956;1.2220739503189209;0.3878144795425653;3.513403820991516;7.168381047248837;3.654977226257321;0.3654977226257321;0.6847222222222222;2.4816205501556396;14.378120422363281;2.1180636525154113;2.619375907642962;0.0007153351763242721;0.6498176133402813;4.725;4.944563341140747;2.6257893812103412;1.1057359549179442;0.42110611111096125;3.4994829654693604;6.712932324409484;3.213449358940123;0.3570499287711248;0.6833333333333333;2.946002721786499;10.11229419708252
d2_calendar_v2;115;2.2477526823679606;2.9118420642595915;0.1449484403844924;0.6559798132469162;5.215277777777778;4.993759019507302;3.1511818531385956;1.2066391147897035;0.38291636948463764;3.445737433433533;7.131302309036255;3.685564875602722;0.3685564875602722;0.6569444444444444;2.2914459705352783;14.16661548614502;2.0841190169254937;2.587974156672534;0.024531081988542924;0.6701406982803544;4.725;4.913626240690549;2.6257893812103412;1.104537480414108;0.4206496866496498;3.503360080718994;6.916795992851256;3.413435912132262;0.37927065690358464;0.6291666666666667;2.9481022357940674;9.98477554321289
d2_soil;110;2.2522845129172007;2.9156431892579313;0.14271461096109672;0.6449385815475657;5.215277777777778;5.02840559747484;3.1511818531385956;1.1704252532621062;0.37142421726513686;3.5731765985488892;7.179536867141722;3.6063602685928324;0.36063602685928325;0.7111111111111111;2.496880292892456;14.273392677307129;2.0998906900485355;2.5976683220637757;0.017209472495146927;0.6636268890046899;4.725;5.051811791459719;2.6257893812103412;1.0677354227889988;0.4066340699027554;3.6804932355880737;6.831327104568481;3.150833868980407;0.35009265210893414;0.7416666666666667;3.3362135887145996;10.453370094299316
d2_all_v2;141;2.2583462993303933;2.9148481163489697;0.14318209714494357;0.6507153744668315;5.215277777777778;5.103507708178626;3.1511818531385956;1.165161815082761;0.36975391119438344;3.73490651845932;7.122595262527464;3.3876887440681442;0.3387688744068144;0.6972222222222222;2.5885181427001953;14.041486740112305;2.1219102889299393;2.6213049382319475;-0.000757046459208599;0.661412193850964;4.725;5.020379935701688;2.6257893812103412;1.0705040790349647;0.40768847901331773;3.7493719339370726;6.910349678993223;3.16097774505615;0.35121974945068335;0.7083333333333334;3.3126423358917236;9.850049018859863
