candidate;family;feature_set;calibration;feature_count;mae;rmse;r2;high_auc;actual_mean;prediction_mean;actual_std;prediction_std;std_ratio;p05;p95;p05_p95_width;width_ratio;boring_4_5_share;min_prediction;max_prediction;mae_vs_official_pct;rmse_vs_official_pct;passes_accuracy_gate;resolution_score
hist_poisson__official_plus_forecast;hist_poisson;official_plus_forecast;raw;70;2.3313340571944456;3.1416458962693348;0.00466073176744819;0.6300931203647961;5.215277777777778;4.74615203717831;3.1511818531385956;1.4041648874353994;0.44559944581961936;2.9352475340353377;7.250428807944147;4.315181273908809;0.4315181273908809;0.5388888888888889;1.9176102404735293;13.452285794473944;2.820408948851716;4.124374698985034;False;0.4437733174278592
hist_poisson__weather_calendar;hist_poisson;weather_calendar;isotonic;90;2.4736312014869717;3.396861421581542;-0.16362309390660323;0.5782428814796787;5.215277777777778;5.456287014307141;3.1511818531385956;1.7983242954834582;0.5706824865382861;3.5284337471275484;7.7272727272727275;4.1988389801451795;0.419883898014518;0.8027777777777778;1.7817802022553777;23.0;9.096236526311152;12.583048230003602;False;0.44321092769175446
xgb_squared__all_operational;xgb_squared;all_operational;isotonic;108;2.344620993733406;3.0871317967081007;0.03890345900579939;0.6057755120339178;5.215277777777778;5.394805121752951;3.1511818531385956;1.8942830626046594;0.6011341620027236;4.11874635219574;8.199999809265137;4.081253457069397;0.4081253457069397;0.8666666666666667;2.354330539703369;21.9161376953125;3.406411733136294;2.317599932983483;False;0.44002091056532117
poisson_glm__all_operational;poisson_glm;all_operational;round;108;2.2708333333333335;3.005319358145561;0.08916873438270534;0.6327893840222361;5.215277777777778;4.916666666666667;3.1511818531385956;1.6388027788551345;0.520059728454858;3.0;7.0;4.0;0.4;0.675;3.0;38.0;0.1521044431528784;-0.3939306752366756;False;0.43902687780468613
poisson_glm__all_operational;poisson_glm;all_operational;affine;108;2.3215078221573497;3.1042821595242476;0.028195176352739937;0.631284343738392;5.215277777777778;5.326847268995547;3.1511818531385956;1.958826830866008;0.621616562343111;3.7181855038582383;6.63589258644577;2.917707082587532;0.2917707082587532;0.7222222222222222;2.866305438182152;51.21769359125172;2.387035832792339;2.88601880100825;False;0.43740275650051913
official_temporal;official_xgb;official_50;isotonic;50;2.453945027126206;3.2702140196396225;-0.07847237344632885;0.6319952351065056;5.215277777777778;5.544808716575305;3.1511818531385956;1.81359642066043;0.5755289618890377;4.167905998229981;7.547618865966797;3.3797128677368162;0.3379712867736816;0.7027777777777777;2.857672691345215;23.0;8.228003811155716;8.385540945648962;False;0.43672242766529995
poisson_glm__weather_calendar;poisson_glm;weather_calendar;isotonic;90;2.477676890349379;3.2843229489789683;-0.08779831626195489;0.5828412598788282;5.215277777777778;5.567629572103611;3.1511818531385956;1.896233076723456;0.6017529819279699;4.17948717948718;7.8;3.62051282051282;0.362051282051282;0.8111111111111111;2.792868142844252;20.04505190017699;9.274666289316947;8.853156804863428;False;0.435284568363313
xgb_poisson__official_50;xgb_poisson;official_50;isotonic;50;2.437080657813284;3.2412924548816338;-0.059480844260926036;0.6237655467459108;5.215277777777778;5.601758165160815;3.1511818531385956;1.7174472376425178;0.5450168596052082;4.135802268981934;7.842105388641357;3.706303119659424;0.37063031196594237;0.6986111111111111;3.0;23.0;7.484223080089736;7.426986116373713;False;0.43525597378820124
extra_trees__all_operational;extra_trees;all_operational;affine;108;2.3892349244445388;3.0607631137112596;0.05525171941215801;0.6512149197525329;5.215277777777778;5.58928508407252;3.1511818531385956;1.4008127449743502;0.4445356727283551;3.8869507168388906;8.419313927535534;4.5323632106966425;0.45323632106966427;0.6222222222222222;3.1790639158082885;13.629311843335106;5.374050213077974;1.4436559178599984;False;0.4342293206576978
xgb_tweedie__official_plus_forecast;xgb_tweedie;official_plus_forecast;spread;70;2.386827322492997;3.093526789165312;0.03491751252448683;0.6288122350168437;5.215277777777778;5.516677948540008;3.1511818531385956;1.3815435419585727;0.4384207596849884;3.6597686185439415;7.996404545307159;4.336635926763217;0.43366359267632165;0.5763888888888888;2.764769702487521;13.04037293593089;5.267866109397246;2.5295508061237593;False;0.4337938215171796
