split,fold,model,train_start,train_end,test_start,test_end,n_train,n_test,mae,rmse,r2,mase,poisson_deviance,roc_auc,pr_auc,brier,log_loss,precision,recall,f1,alerts_per_week
cv,outer_07,moving_average_28d,2022-02-03,2023-08-20,2023-08-21,2023-09-19,533,28,1.5420918367346939,1.8799497349213632,-0.042053940794068545,0.6876721350736438,1.0164322902463725,0.34615384615384615,0.06203007518796992,0.07215743440233237,0.2844661375444904,0.0,0.0,0.0,0.0
cv,outer_08,historical_median,2022-02-03,2023-09-19,2023-09-20,2023-10-23,561,28,1.8928571428571428,2.5,-0.04812834224598905,0.8426073131955485,1.589382029979499,0.5,0.17857142857142858,0.14729066152469736,0.4711551941625335,0.0,0.0,0.0,0.0
cv,outer_08,moving_average_28d,2022-02-03,2023-09-19,2023-09-20,2023-10-23,561,28,1.8979591836734695,2.47242444840307,-0.025133689839571982,0.8448784919373155,1.5555011558064162,0.4043478260869566,0.17633213468453746,0.15324344023323613,0.501651720677662,0.0,0.0,0.0,0.0
cv,outer_09,historical_median,2022-02-03,2023-10-23,2023-10-24,2023-11-22,589,28,1.6071428571428572,1.7627089541790095,-0.000410677618069899,0.7137462235649547,0.841432127829962,0.5,0.2857142857142857,0.21108346198208155,0.6181532608310752,0.0,0.0,0.0,0.0
cv,outer_09,moving_average_28d,2022-02-03,2023-10-23,2023-10-24,2023-11-22,589,28,1.6505102040816326,1.8667334779102829,-0.12197125256673513,0.7330060422960725,0.9465373122381628,0.24375,0.21854395604395604,0.2218021137026239,0.6465998481926503,0.0,0.0,0.0,0.0
cv,outer_10,historical_median,2022-02-03,2023-11-22,2023-11-23,2023-12-23,617,28,1.8928571428571428,2.382975331087468,-0.00022466861379433212,0.8394528437724983,1.5573337403554208,0.5,0.21428571428571427,0.16843876685243256,0.5197961266534472,0.0,0.0,0.0,0.0
cv,outer_10,moving_average_28d,2022-02-03,2023-11-22,2023-11-23,2023-12-23,617,28,1.9272959183673464,2.4255777617165997,-0.036308052765028354,0.8547259076416742,1.6081700875447555,0.48484848484848486,0.2638888888888889,0.17059948979591838,0.5265338662180995,0.0,0.0,0.0,0.0
cv,outer_11,historical_median,2022-02-03,2023-12-23,2023-12-24,2024-01-22,645,28,1.5357142857142858,1.9548474547720014,-0.05978068623983024,0.672331747110809,0.891352682244072,0.5,0.2857142857142857,0.2104039077321933,0.6160615479899088,0.0,0.0,0.0,0.0
cv,outer_11,moving_average_28d,2022-02-03,2023-12-23,2023-12-24,2024-01-22,645,28,1.531887755102041,1.9373971335431526,-0.040944464096215105,0.6706565018937555,0.8750559736221776,0.33749999999999997,0.24188311688311687,0.2171100583090379,0.634888237652424,0.0,0.0,0.0,0.0
cv,outer_12,historical_median,2022-02-03,2024-01-22,2024-01-23,2024-02-19,673,28,1.7857142857142858,2.2677868380553634,-0.051094890510948954,0.7843137254901961,1.4932041911683396,0.5,0.14285714285714285,0.1268915373995861,0.4247994972978658,0.0,0.0,0.0,0.0
cv,outer_12,moving_average_28d,2022-02-03,2024-01-22,2024-01-23,2024-02-19,673,28,1.8788265306122447,2.3510376252735505,-0.12968307761060638,0.8252100840336133,1.5820840499912967,0.265625,0.13009049773755657,0.13675291545189502,0.4523286203105071,0.0,0.0,0.0,0.0
cv,outer_13,historical_median,2022-02-03,2024-02-19,2024-02-20,2024-03-22,701,28,1.6785714285714286,2.29128784747792,-0.002191380569759094,0.7413249211356467,1.2176377418034996,0.5,0.25,0.1893621502601745,0.5677482307415097,0.0,0.0,0.0,0.0
cv,outer_13,moving_average_28d,2022-02-03,2024-02-19,2024-02-20,2024-03-22,701,28,1.7232142857142854,2.337415516628589,-0.0429493199763471,0.7610410094637222,1.2737154219590459,0.48299319727891155,0.2892051557465091,0.19301202623906707,0.5771550186760848,0.0,0.0,0.0,0.0
cv,outer_14,historical_median,2022-02-03,2024-03-22,2024-03-23,2024-04-19,729,28,1.3928571428571428,1.7008401285415224,-0.14603335017685692,0.6138014527845036,0.8298822261583523,0.5,0.14285714285714285,0.1267585946242655,0.42439742916653334,0.0,0.0,0.0,0.0
cv,outer_14,moving_average_28d,2022-02-03,2024-03-22,2024-03-23,2024-04-19,729,28,1.3520408163265305,1.7310247811637232,-0.18707139247816373,0.5958145970252507,0.8597824923813935,0.296875,0.1294642857142857,0.13925838192419823,0.4714111100447854,0.0,0.0,0.0,0.0
cv,outer_15,historical_median,2022-02-03,2024-04-19,2024-04-20,2024-05-19,757,28,1.6071428571428572,2.0441554316077406,-0.0003053435114503955,0.717660956881276,1.0615716827109187,0.5,0.21428571428571427,0.16843473619682983,0.5197838033205991,0.0,0.0,0.0,0.0
cv,outer_15,moving_average_28d,2022-02-03,2024-04-19,2024-04-20,2024-05-19,757,28,1.6951530612244898,2.0830842902652438,-0.03876772082878932,0.7569614378533458,1.104557681581983,0.4772727272727273,0.2228487886382623,0.1713283527696793,0.5282875670846037,0.0,0.0,0.0,0.0
cv,outer_16,historical_median,2022-02-03,2024-05-19,2024-05-20,2024-06-16,785,28,3.0714285714285716,4.840306956027833,-0.26466538143762053,1.3689596361569074,3.5772897524732445,0.5,0.5,0.33621891354618855,0.9046122907724896,0.0,0.0,0.0,0.0
cv,outer_16,moving_average_28d,2022-02-03,2024-05-19,2024-05-20,2024-06-16,785,28,3.0344387755102042,4.464219387262384,-0.07577359641185044,1.3524729960204662,2.801313970235936,0.44387755102040816,0.47976519110059485,0.28566873177842567,0.7712425032731929,0.25,0.07142857142857142,0.1111111111111111,1.0
cv,outer_17,historical_median,2022-02-03,2024-06-16,2024-06-17,2024-07-14,813,28,1.8928571428571428,2.809422919899591,-0.13354094156438912,0.8267885960193653,1.427010658012375,0.5,0.39285714285714285,0.2696285410402866,0.7492879634711517,0.0,0.0,0.0,0.0
cv,outer_17,moving_average_28d,2022-02-03,2024-06-16,2024-06-17,2024-07-14,813,28,2.3252551020408165,2.9553051200797658,-0.25431790228456275,1.0156574195035735,1.504126390597769,0.4919786096256684,0.4053653417289781,0.2521410349854228,0.6974413915395746,0.375,0.5454545454545454,0.4444444444444444,4.0
cv,outer_18,historical_median,2022-02-03,2024-07-14,2024-07-15,2024-08-13,841,28,3.7142857142857144,5.378528742004772,-0.4214088744046123,1.613236814891417,4.396085074455955,0.5,0.5357142857142857,0.34691894532926587,0.9221979163385773,0.0,0.0,0.0,0.0
cv,outer_18,moving_average_28d,2022-02-03,2024-07-14,2024-07-15,2024-08-13,841,28,3.107142857142857,4.715078010107512,-0.0923700891737993,1.3495346432264739,2.971357124904082,0.6435897435897435,0.6397313797313797,0.25674198250728864,0.707294766774323,0.7142857142857143,0.3333333333333333,0.45454545454545453,1.6333333333333333
cv,outer_19,historical_median,2022-02-03,2024-08-13,2024-08-14,2024-09-10,869,28,1.6785714285714286,2.2598988599366248,-0.0990941531704641,0.7202174987642116,1.1111871646974207,0.5,0.2857142857142857,0.20691860032874734,0.6058451789253164,0.0,0.0,0.0,0.0
cv,outer_19,moving_average_28d,2022-02-03,2024-08-13,2024-08-14,2024-09-10,869,28,2.345663265306122,2.8049522142450574,-0.6931983059487865,1.006443753972177,1.5372394175071855,0.47500000000000003,0.27526570048309185,0.2381104227405248,0.6676672880817845,0.2777777777777778,0.625,0.38461538461538464,4.5
cv,outer_20,historical_median,2022-02-03,2024-09-10,2024-09-11,2024-10-10,897,28,1.7142857142857142,1.9820624179302297,-0.18644067796610164,0.7310804378867205,1.196913864592917,0.5,0.14285714285714285,0.1307767410719279,0.4360396786228584,0.0,0.0,0.0,0.0
cv,outer_20,moving_average_28d,2022-02-03,2024-09-10,2024-09-11,2024-10-10,897,28,1.7487244897959184,2.032343700845737,-0.24739984591679498,0.745767321683552,1.2352953182664985,0.5208333333333333,0.2222222222222222,0.12950983965014573,0.42808962397850286,0.0,0.0,0.0,0.0
cv,outer_21,historical_median,2022-02-03,2024-10-10,2024-10-11,2024-11-09,925,28,1.2857142857142858,1.7113069358158484,-0.26710816777041924,0.5482233502538071,1.0202786033936235,0.5,0.07142857142857142,0.09190182615047482,0.3488853373364264,0.0,0.0,0.0,0.0
cv,outer_21,moving_average_28d,2022-02-03,2024-10-10,2024-10-11,2024-11-09,925,28,1.2946428571428574,1.5533368342699236,-0.04397272153894627,0.552030456852792,0.888988406292511,0.1826923076923077,0.05745341614906832,0.0742984693876837,1.167400320717505,0.0,0.0,0.0,0.0
