category;family;feature_count;features;oof_mae;fold_mae_std;selected
N_INCENDIO_FOREST;hist_poisson;20;LLUVIA_DESV_30D_PREV|TEMP_MEDIA|TEMP_MAX|VIENTO_MEDIO_lag_1|VIENTO_KURT|HUM_KURT|HUM_MEDIA|TEMP_MIN|LLUVIA_TOTAL_30D_PREV|TEMP_SKEW|TEMP_KURT|HUM_MEDIA_lag_1|LLUVIA_PROMEDIO_30D_PREV|VIENTO_SKEW|VIENTO_MAX|DIAS_SECOS_30D_PREV|HUM_SKEW|HUM_MAX|LLUVIA_DESV_14D_PREV|LLUVIA_TOTAL_14D_PREV;0.5906593630210981;0.32635390888378707;False
N_INCENDIO_FOREST;hist_poisson;25;LLUVIA_DESV_30D_PREV|TEMP_MEDIA|TEMP_MAX|VIENTO_MEDIO_lag_1|VIENTO_KURT|HUM_KURT|HUM_MEDIA|TEMP_MIN|LLUVIA_TOTAL_30D_PREV|TEMP_SKEW|TEMP_KURT|HUM_MEDIA_lag_1|LLUVIA_PROMEDIO_30D_PREV|VIENTO_SKEW|VIENTO_MAX|DIAS_SECOS_30D_PREV|HUM_SKEW|HUM_MAX|LLUVIA_DESV_14D_PREV|LLUVIA_TOTAL_14D_PREV|LLUVIA_MAX_30D_PREV|LLUVIA_DESV_7D_PREV|VIENTO_MEDIO|LLUVIA_PROMEDIO_14D_PREV|HUM_MIN;0.5923732084247165;0.32389310006351507;False
N_INCENDIO_FOREST;hist_poisson;31;LLUVIA_DESV_30D_PREV|TEMP_MEDIA|TEMP_MAX|VIENTO_MEDIO_lag_1|VIENTO_KURT|HUM_KURT|HUM_MEDIA|TEMP_MIN|LLUVIA_TOTAL_30D_PREV|TEMP_SKEW|TEMP_KURT|HUM_MEDIA_lag_1|LLUVIA_PROMEDIO_30D_PREV|VIENTO_SKEW|VIENTO_MAX|DIAS_SECOS_30D_PREV|HUM_SKEW|HUM_MAX|LLUVIA_DESV_14D_PREV|LLUVIA_TOTAL_14D_PREV|LLUVIA_MAX_30D_PREV|LLUVIA_DESV_7D_PREV|VIENTO_MEDIO|LLUVIA_PROMEDIO_14D_PREV|HUM_MIN|LLUVIA_MAX_14D_PREV|DIAS_SECOS_7D_PREV|LLUVIA_LAG_1D|DIAS_SECOS_14D_PREV|LLUVIA_LAG_5D|LLUVIA_MAX_7D_PREV;0.5927029757177373;0.3248192749540324;False
N_RESCATE_VEH;gradient_boosting;5;TEMP_SKEW|HUM_KURT|HUM_MEDIA_lag_1|HUM_SKEW|TEMP_KURT;0.9697482179510665;0.03562584101715723;False
N_RESCATE_VEH;gradient_boosting;10;TEMP_SKEW|HUM_KURT|HUM_MEDIA_lag_1|HUM_SKEW|TEMP_KURT|VIENTO_SKEW|VIENTO_KURT|VIENTO_MEDIO|HUM_MEDIA|VIENTO_MAX;0.9590451213620468;0.05160868814994579;False
N_RESCATE_VEH;gradient_boosting;15;TEMP_SKEW|HUM_KURT|HUM_MEDIA_lag_1|HUM_SKEW|TEMP_KURT|VIENTO_SKEW|VIENTO_KURT|VIENTO_MEDIO|HUM_MEDIA|VIENTO_MAX|VIENTO_MEDIO_lag_1|LLUVIA_DESV_14D_PREV|TEMP_MEDIA|LLUVIA_LAG_10D|LLUVIA_LAG_14D;0.960351550221926;0.04119142600770105;False
N_RESCATE_VEH;gradient_boosting;20;TEMP_SKEW|HUM_KURT|HUM_MEDIA_lag_1|HUM_SKEW|TEMP_KURT|VIENTO_SKEW|VIENTO_KURT|VIENTO_MEDIO|HUM_MEDIA|VIENTO_MAX|VIENTO_MEDIO_lag_1|LLUVIA_DESV_14D_PREV|TEMP_MEDIA|LLUVIA_LAG_10D|LLUVIA_LAG_14D|LLUVIA_DESV_30D_PREV|HUM_MIN|LLUVIA_LAG_7D|HUM_MAX|LLUVIA_LAG_5D;0.9839350862112997;0.06533600311469805;False
N_RESCATE_VEH;gradient_boosting;25;TEMP_SKEW|HUM_KURT|HUM_MEDIA_lag_1|HUM_SKEW|TEMP_KURT|VIENTO_SKEW|VIENTO_KURT|VIENTO_MEDIO|HUM_MEDIA|VIENTO_MAX|VIENTO_MEDIO_lag_1|LLUVIA_DESV_14D_PREV|TEMP_MEDIA|LLUVIA_LAG_10D|LLUVIA_LAG_14D|LLUVIA_DESV_30D_PREV|HUM_MIN|LLUVIA_LAG_7D|HUM_MAX|LLUVIA_LAG_5D|LLUVIA_DESV_7D_PREV|TEMP_MIN|LLUVIA_PROMEDIO_7D_PREV|TEMP_MAX|LLUVIA;0.9683958303672819;0.05889232080770477;False
N_RESCATE_VEH;gradient_boosting;31;TEMP_SKEW|HUM_KURT|HUM_MEDIA_lag_1|HUM_SKEW|TEMP_KURT|VIENTO_SKEW|VIENTO_KURT|VIENTO_MEDIO|HUM_MEDIA|VIENTO_MAX|VIENTO_MEDIO_lag_1|LLUVIA_DESV_14D_PREV|TEMP_MEDIA|LLUVIA_LAG_10D|LLUVIA_LAG_14D|LLUVIA_DESV_30D_PREV|HUM_MIN|LLUVIA_LAG_7D|HUM_MAX|LLUVIA_LAG_5D|LLUVIA_DESV_7D_PREV|TEMP_MIN|LLUVIA_PROMEDIO_7D_PREV|TEMP_MAX|LLUVIA|LLUVIA_LAG_3D|LLUVIA_TOTAL_7D_PREV|LLUVIA_MAX_30D_PREV|LLUVIA_LAG_2D|LLUVIA_TOTAL_30D_PREV|LLUVIA_MAX_7D_PREV;0.9764732314726191;0.04417331901880565;False
N_RESCATE_VEH;hist_poisson;5;TEMP_SKEW|HUM_KURT|HUM_MEDIA_lag_1|HUM_SKEW|TEMP_KURT;0.9582458939073851;0.058528457928359943;False
N_RESCATE_VEH;hist_poisson;10;TEMP_SKEW|HUM_KURT|HUM_MEDIA_lag_1|HUM_SKEW|TEMP_KURT|VIENTO_SKEW|VIENTO_KURT|VIENTO_MEDIO|HUM_MEDIA|VIENTO_MAX;0.9379242930772771;0.05113588840721547;False
N_RESCATE_VEH;hist_poisson;15;TEMP_SKEW|HUM_KURT|HUM_MEDIA_lag_1|HUM_SKEW|TEMP_KURT|VIENTO_SKEW|VIENTO_KURT|VIENTO_MEDIO|HUM_MEDIA|VIENTO_MAX|VIENTO_MEDIO_lag_1|LLUVIA_DESV_14D_PREV|TEMP_MEDIA|LLUVIA_LAG_10D|LLUVIA_LAG_14D;0.9335497756314209;0.05817216915707528;False
N_RESCATE_VEH;hist_poisson;20;TEMP_SKEW|HUM_KURT|HUM_MEDIA_lag_1|HUM_SKEW|TEMP_KURT|VIENTO_SKEW|VIENTO_KURT|VIENTO_MEDIO|HUM_MEDIA|VIENTO_MAX|VIENTO_MEDIO_lag_1|LLUVIA_DESV_14D_PREV|TEMP_MEDIA|LLUVIA_LAG_10D|LLUVIA_LAG_14D|LLUVIA_DESV_30D_PREV|HUM_MIN|LLUVIA_LAG_7D|HUM_MAX|LLUVIA_LAG_5D;0.9296302834559881;0.05519675967634786;False
N_RESCATE_VEH;hist_poisson;25;TEMP_SKEW|HUM_KURT|HUM_MEDIA_lag_1|HUM_SKEW|TEMP_KURT|VIENTO_SKEW|VIENTO_KURT|VIENTO_MEDIO|HUM_MEDIA|VIENTO_MAX|VIENTO_MEDIO_lag_1|LLUVIA_DESV_14D_PREV|TEMP_MEDIA|LLUVIA_LAG_10D|LLUVIA_LAG_14D|LLUVIA_DESV_30D_PREV|HUM_MIN|LLUVIA_LAG_7D|HUM_MAX|LLUVIA_LAG_5D|LLUVIA_DESV_7D_PREV|TEMP_MIN|LLUVIA_PROMEDIO_7D_PREV|TEMP_MAX|LLUVIA;0.9326655582761846;0.054896162531655406;False
N_RESCATE_VEH;hist_poisson;31;TEMP_SKEW|HUM_KURT|HUM_MEDIA_lag_1|HUM_SKEW|TEMP_KURT|VIENTO_SKEW|VIENTO_KURT|VIENTO_MEDIO|HUM_MEDIA|VIENTO_MAX|VIENTO_MEDIO_lag_1|LLUVIA_DESV_14D_PREV|TEMP_MEDIA|LLUVIA_LAG_10D|LLUVIA_LAG_14D|LLUVIA_DESV_30D_PREV|HUM_MIN|LLUVIA_LAG_7D|HUM_MAX|LLUVIA_LAG_5D|LLUVIA_DESV_7D_PREV|TEMP_MIN|LLUVIA_PROMEDIO_7D_PREV|TEMP_MAX|LLUVIA|LLUVIA_LAG_3D|LLUVIA_TOTAL_7D_PREV|LLUVIA_MAX_30D_PREV|LLUVIA_LAG_2D|LLUVIA_TOTAL_30D_PREV|LLUVIA_MAX_7D_PREV;0.9229088209853573;0.051388059858497884;True
N_RESCATE_PERS;gradient_boosting;5;VIENTO_KURT|VIENTO_MEDIO_lag_1|HUM_MEDIA_lag_1|HUM_SKEW|TEMP_KURT;0.8237537022617151;0.10240957527174441;False
N_RESCATE_PERS;gradient_boosting;10;VIENTO_KURT|VIENTO_MEDIO_lag_1|HUM_MEDIA_lag_1|HUM_SKEW|TEMP_KURT|TEMP_MEDIA|VIENTO_SKEW|HUM_KURT|VIENTO_MEDIO|TEMP_SKEW;0.8267038915599656;0.09365860988525816;False
N_RESCATE_PERS;gradient_boosting;15;VIENTO_KURT|VIENTO_MEDIO_lag_1|HUM_MEDIA_lag_1|HUM_SKEW|TEMP_KURT|TEMP_MEDIA|VIENTO_SKEW|HUM_KURT|VIENTO_MEDIO|TEMP_SKEW|TEMP_MAX|HUM_MEDIA|TEMP_MIN|LLUVIA_LAG_10D|VIENTO_MAX;0.8314720786389168;0.09718521136905828;False
