repeat;fold;mae;roc_auc;brier
28;4;1.0143627879116361;0.5486899563318778;0.16510603413997177
28;5;0.9743149613754617;0.5391162756272666;0.16425607584882992
29;1;0.9864349064117485;0.5352983988355168;0.16857420638648327
29;2;0.9423342666823972;0.5392857142857143;0.14602445398711963
29;3;1.0417341756985674;0.4608139200460167;0.17646703659392102
29;4;1.0156878707318158;0.5596904937361827;0.16335513196142493
29;5;1.0678994990885258;0.4650525645109908;0.19931774566232305
30;1;1.0166594410850103;0.4690106413574921;0.1746300696523875
30;2;0.9876322137855741;0.5511054421768707;0.1435779322355849
30;3;0.9962924184683697;0.542843095940441;0.17298204381720142
30;4;1.035110115179966;0.5078644888082274;0.16220035608621086
30;5;1.0386072873241372;0.5745884773662552;0.18805667742259516
