FECHA_DIA;WX_GUST_MAX;WX_GUST_MEAN;WX_PRECIP_PROB_MAX;WX_PRECIP_MAX_HOURLY;WX_PRECIP_HOURS;WX_HEAVY_RAIN_HOURS;WX_PRESSURE_MEAN;WX_DEWPOINT_MEAN;WX_VISIBILITY_MIN;WX_CAPE_MAX;WX_CAPE_MEAN;WX_VPD_MAX;WX_VPD_MEAN;WX_SOIL_MOISTURE_SURFACE_MEAN;WX_SOIL_MOISTURE_DEEP_MEAN;WX_ET0_SUM;WX_LOW_HUMIDITY_HOURS;WX_TEMP_MAX;WX_HUMIDITY_MIN;WX_WIND_MAX;WX_PRESSURE_RANGE;WX_WIND_RAIN_INDEX;WX_FIRE_WEATHER_INDEX
2025-06-25;43.9;29.15833333333333;0.0;0.0;0.0;0.0;1022.7666666666668;3.608333333333333;24140.0;0.0;0.0;0.54;0.245;0.369125;0.40487500000000004;1.32;0.0;10.4;57;20.1;5.899999999999864;0.0;110.25693525
2025-06-26;19.1;11.716666666666667;0.0;0.0;0.0;0.0;1026.6916666666666;4.166666666666667;24140.0;0.0;0.0;0.35;0.20583333333333334;0.3565833333333333;0.3994166666666667;0.96;0.0;11.1;73;7.3;2.2999999999999545;0.0;42.375498750000006
2025-06-27;28.4;16.383333333333333;0.0;0.0;0.0;0.0;1023.4250000000001;6.145833333333333;24140.0;0.0;0.0;0.33;0.17875;0.34970833333333334;0.394125;1.05;0.0;11.2;75;13.6;3.5;0.0;62.334816833333335
2025-06-28;26.6;17.150000000000002;2.0;0.0;0.0;0.0;1026.4458333333334;3.516666666666667;24140.0;10.0;0.4166666666666667;0.35;0.1975;0.34270833333333334;0.3894166666666667;1.15;0.0;10.1;71;13.3;9.199999999999932;0.0;59.513343750000004
2025-06-29;33.5;29.816666666666666;0.0;0.0;0.0;0.0;1030.3999999999999;-1.6125;24140.0;0.0;0.0;0.73;0.36541666666666667;0.3302916666666667;0.38516666666666666;1.82;0.0;9.9;40;17.3;5.599999999999909;0.0;96.76794645833333
2025-06-30;30.2;21.929166666666664;0.0;0.0;0.0;0.0;1023.1750000000001;-3.0666666666666664;24140.0;0.0;0.0;0.68;0.40041666666666664;0.315875;0.3809166666666666;1.6300000000000001;0.0;9.9;41;15.7;6.499999999999886;0.0;85.445766
2025-07-01;19.1;13.454166666666667;2.0;0.0;0.0;0.0;1022.1041666666666;0.9916666666666667;24140.0;0.0;0.0;0.67;0.33208333333333334;0.304875;0.37666666666666665;1.19;0.0;12.1;51;9.0;3.1000000000000227;0.0;54.069402125
2025-07-02;21.2;17.470833333333335;0.0;0.0;0.0;0.0;1020.8083333333334;3.5708333333333333;24140.0;0.0;0.0;0.59;0.27791666666666665;0.2965833333333333;0.37266666666666665;1.3;0.0;13.9;63;10.6;3.7999999999999545;0.0;57.418769
2025-07-03;23.4;17.787499999999998;0.0;0.0;0.0;0.0;1018.5041666666666;5.5;24140.0;0.0;0.0;0.51;0.25958333333333333;0.28879166666666667;0.3690833333333334;1.23;0.0;13.9;67;11.7;2.5;0.0;60.463835249999995
2025-07-04;22.7;17.504166666666666;0.0;0.0;0.0;0.0;1016.8249999999999;6.7375;24140.0;0.0;0.0;0.4;0.18000000000000002;0.28475;0.36562500000000003;1.17;0.0;14.2;75;12.3;3.699999999999932;0.0;54.510645
2025-07-05;71.3;53.25;100.0;2.8;10.0;0.0;1014.8249999999999;9.504166666666666;5460.0;0.0;0.0;0.33;0.15333333333333335;0.3275416666666667;0.36274999999999996;0.93;0.0;13.0;78;38.7;3.300000000000068;95.18557605801584;158.5975512916667
2025-07-06;77.8;56.4625;100.0;9.1;19.0;4.0;1017.5458333333332;11.0875;320.0;20.0;2.9166666666666665;0.16;0.06875;0.4718333333333333;0.41558333333333336;0.38;0.0;12.4;89;39.8;9.399999999999977;179.91525597531322;137.91398533333333
2025-07-07;41.0;22.96666666666667;16.0;0.1;0.0;0.0;1022.2541666666666;10.729166666666666;23480.0;0.0;0.0;0.31;0.11291666666666667;0.3970416666666667;0.44966666666666666;0.94;0.0;14.1;81;21.1;3.199999999999932;3.9077173719773195;86.09489208333333
