candidate;fold;start_date;end_date;mae;metric_mae;metric_rmse;metric_r2;metric_high_auc;metric_actual_mean;metric_prediction_mean;metric_actual_std;metric_prediction_std;metric_std_ratio;metric_p05;metric_p95;metric_p05_p95_width;metric_width_ratio;metric_boring_4_5_share;metric_min_prediction;metric_max_prediction
d3_long;6;2025-12-10;2026-04-16;2.3176361203193663;2.3176361203193663;2.8496600584097167;-0.03031939079552104;0.5854037267080745;5.208333333333333;5.552292819817861;2.8191894458607534;1.0910502207277115;0.38700847945129585;4.168177771568298;7.658836507797241;3.4906587362289425;0.4336222032582537;0.7416666666666667;3.5256834030151367;10.060474395751953
d3_fast;1;2024-03-18;2024-07-17;2.5117060323556264;2.5117060323556264;3.5800187190987134;0.019012464352727743;0.546875;5.541666666666667;4.898469938834508;3.6296996966629598;1.1449733821536967;0.31544576076261954;3.225590741634369;6.881026935577392;3.655436193943023;0.40615957710478034;0.5666666666666667;2.1985392570495605;7.440734386444092
d3_fast;2;2024-07-18;2024-11-22;2.3461015999317167;2.3461015999317167;2.9890264656535885;0.2948129475702168;0.7725694444444444;5.075;4.557957738637924;3.5743307536005187;1.359024133294582;0.38021778816232965;2.935564696788788;6.506758832931518;3.57119413614273;0.357119413614273;0.625;2.267409563064575;13.594561576843262
d3_fast;3;2024-11-23;2025-03-24;2.4700355887413026;2.4700355887413026;3.172436950657759;-0.042645841804195284;0.5708590068865531;5.925;5.45573795636495;3.1199076155251397;0.8091495645844973;0.2593504886356393;4.183483195304871;6.737249636650085;2.553766441345214;0.2837518268161349;0.7416666666666667;3.6534464359283447;7.829622268676758
d3_fast;4;2025-03-25;2025-07-28;2.039938720067342;2.039938720067342;2.664920048563568;0.23306707718833164;0.647235576923077;5.3;4.965741868813833;3.055783880782543;1.2683287704239927;0.4150584006939626;3.533467638492584;6.704699468612671;3.171231830120087;0.39394184225094264;0.7083333333333334;2.4161815643310547;14.435132026672363
d3_fast;5;2025-07-29;2025-12-09;1.9092234174410503;1.9092234174410503;2.389296326085643;-0.06046016908612639;0.5545454545454547;4.241666666666666;4.307330433527628;2.329914462069418;0.8690977903579051;0.3730170375379262;3.18095486164093;5.7223526477813715;2.5413977861404415;0.3176747232675552;0.5833333333333334;2.735384941101074;8.421333312988281
d3_fast;6;2025-12-10;2026-04-16;2.3095629890759786;2.3095629890759786;2.8533862881275858;-0.033015654024874275;0.6005434782608696;5.208333333333333;5.521066943804423;2.8191894458607534;1.1336923482945873;0.40213414886293636;4.0673729419708256;7.612779521942139;3.5454065799713135;0.440423177636188;0.7083333333333334;3.429211139678955;10.414278984069824
d3_flexible;1;2024-03-18;2024-07-17;2.500011744101842;2.500011744101842;3.4466377105561476;0.09074820893125024;0.5651041666666666;5.541666666666667;5.061733784278234;3.6296996966629598;1.2790963563718387;0.3523972954423207;3.4826544284820558;7.100969266891479;3.618314838409423;0.40203498204549143;0.5666666666666667;1.893822431564331;8.896055221557617
d3_flexible;2;2024-07-18;2024-11-22;2.3354183197021485;2.3354183197021485;3.014878835232442;0.2825617371707344;0.76953125;5.075;4.539768465360006;3.5743307536005187;1.2622925705396828;0.35315494215753307;3.1607296586036684;6.439754915237425;3.2790252566337568;0.3279025256633757;0.6;2.466719627380371;13.270957946777344
d3_flexible;3;2024-11-23;2025-03-24;2.4570095241069794;2.4570095241069794;3.1317056855285252;-0.01604442629883951;0.6005799202609641;5.925;5.695327947537105;3.1199076155251397;0.9853383344950969;0.31582292039414944;4.3839000225067135;7.403458571434021;3.019558548927307;0.33550650543636745;0.6416666666666667;3.8279974460601807;8.651556015014648
d3_flexible;4;2025-03-25;2025-07-28;2.0273684759934745;2.0273684759934745;2.6288113200751715;0.25370961592274655;0.6508413461538461;5.3;4.959284363190333;3.055783880782543;1.2285081376500566;0.40202716735826655;3.619249904155731;7.275016093254089;3.6557661890983577;0.4541324458507278;0.7083333333333334;2.641599178314209;13.02396297454834
d3_flexible;5;2025-07-29;2025-12-09;1.8859864473342896;1.8859864473342896;2.348697581857439;-0.02472783145720303;0.5786363636363636;4.241666666666666;4.348352877298991;2.329914462069418;0.8961527710591294;0.3846290435328562;3.3592490553855896;5.876932525634765;2.5176834702491755;0.31471043378114694;0.6083333333333333;2.9327592849731445;9.234739303588867
d3_flexible;6;2025-12-10;2026-04-16;2.3176813503106435;2.3176813503106435;2.8562393037050375;-0.03508244966231011;0.5978260869565217;5.208333333333333;5.625939053297043;2.8191894458607534;1.1305255827595393;0.4010108594934697;4.1965516090393065;7.937350940704346;3.7407993316650394;0.4646955691509365;0.675;3.5877420902252197;10.213774681091309
d3_regularized;1;2024-03-18;2024-07-17;2.488307903210322;2.488307903210322;3.5457111676103215;0.0377241095421994;0.5716145833333334;5.541666666666667;4.856517698367437;3.6296996966629598;1.054480844225538;0.29051462444537685;3.397291052341461;6.709933090209961;3.3126420378684998;0.3680713375409444;0.6166666666666667;2.0845000743865967;7.320201396942139
d3_regularized;2;2024-07-18;2024-11-22;2.326347764333089;2.326347764333089;2.98458899631332;0.2969052161677628;0.787326388888889;5.075;4.5566652377446495;3.5743307536005187;1.2730914975128;0.3561761866135027;3.160000002384186;6.1865080833435036;3.0265080809593177;0.30265080809593176;0.625;2.71334171295166;12.214856147766113
d3_regularized;3;2024-11-23;2025-03-24;2.4619358042875925;2.4619358042875925;3.1558760092361835;-0.031788493109187854;0.5980427691192461;5.925;5.33150689403216;3.1199076155251397;0.7569018710547336;0.24260393714489287;4.086669135093689;6.7436611413955685;2.6569920063018797;0.29522133403354217;0.8166666666666667;3.7660443782806396;7.46252965927124
d3_regularized;4;2025-03-25;2025-07-28;2.0257602194945017;2.0257602194945017;2.6259865821880477;0.2553125777719585;0.6568509615384615;5.3;4.972544874747594;3.055783880782543;1.2338329303556401;0.40376969657935136;3.644796919822693;6.575016427040099;2.930219507217406;0.36400242325682075;0.7333333333333333;2.6069345474243164;13.722892761230469
d3_regularized;5;2025-07-29;2025-12-09;1.880207888285319;1.880207888285319;2.3371097299514876;-0.014641303597935584;0.5590909090909091;4.241666666666666;4.3431777636210125;2.329914462069418;0.841959029288654;0.36136907298340487;3.4938267827033997;5.7737359523773195;2.2799091696739198;0.28498864620923997;0.6;2.7825891971588135;9.341758728027344
d3_regularized;6;2025-12-10;2026-04-16;2.3284575303395587;2.3284575303395587;2.842747974609765;-0.025327204537028303;0.578416149068323;5.208333333333333;5.552724170684814;2.8191894458607534;1.146357903198959;0.4066267717063454;4.0974890232086185;7.668517541885376;3.5710285186767576;0.44360602716481456;0.6833333333333333;3.516230583190918;10.358656883239746
d4_short;1;2024-03-18;2024-07-17;2.480639268954595;2.480639268954595;3.597023343531693;0.00967120499464924;0.5416666666666666;5.541666666666667;4.767412064472834;3.6296996966629598;0.9592666675085366;0.2642826535733682;3.533802604675293;6.442954802513123;2.90915219783783;0.3232391330930922;0.6166666666666667;2.0891528129577637;7.091432094573975
d4_short;2;2024-07-18;2024-11-22;2.3538342436154682;2.3538342436154682;3.0197507932184786;0.28024114424400326;0.7491319444444444;5.075;4.599051558971405;3.5743307536005187;1.269911383815621;0.3552864777654965;3.2917359352111815;6.584462571144104;3.2927266359329224;0.3292726635932922;0.6083333333333333;2.74086332321167;13.843531608581543
d4_short;3;2024-11-23;2025-03-24;2.445521678527196;2.445521678527196;3.141278953163092;-0.022265784982841152;0.575208408843784;5.925;5.473791346947352;3.1199076155251397;0.7424351221325278;0.23796702134321432;4.356664991378784;6.806171679496765;2.449506688117981;0.27216740979088677;0.7583333333333333;3.9355902671813965;7.728090763092041
d4_short;4;2025-03-25;2025-07-28;2.043523987134298;2.043523987134298;2.6664895136014;0.232163463699111;0.6478365384615385;5.3;4.949778064092;3.055783880782543;1.2434122276494581;0.40690450508268206;3.5884217023849487;6.700669932365417;3.1122482299804686;0.3866146869540956;0.7333333333333333;2.5686028003692627;14.029841423034668
d4_short;5;2025-07-29;2025-12-09;1.880948696533839;1.880948696533839;2.3366084523117796;-0.01420609728677924;0.5518181818181818;4.241666666666666;4.292053014039993;2.329914462069418;0.8127144584871522;0.3488172942474907;3.3441646814346315;5.761696934700011;2.41753225326538;0.3021915316581725;0.5666666666666667;2.959535598754883;8.319375991821289
d4_short;6;2025-12-10;2026-04-16;2.3280238191286724;2.3280238191286724;2.8565729040242935;-0.03532425293170016;0.5803571428571429;5.208333333333333;5.524617489178976;2.8191894458607534;1.0575256718661779;0.37511692356073456;4.25900297164917;7.951786851882934;3.6927838802337645;0.45873091679922534;0.7333333333333333;3.7308037281036377;9.506447792053223
