candidate;mae;rmse;r2;high_auc;actual_mean;prediction_mean;actual_std;prediction_std;std_ratio;p05;p95;p05_p95_width;width_ratio;boring_4_5_share;min_prediction;max_prediction;confirm_mae;confirm_rmse;confirm_r2;confirm_high_auc;confirm_actual_mean;confirm_prediction_mean;confirm_actual_std;confirm_prediction_std;confirm_std_ratio;confirm_p05;confirm_p95;confirm_p05_p95_width;confirm_width_ratio;confirm_boring_4_5_share;confirm_min_prediction;confirm_max_prediction;horizon
direct_d2_base;2.3026168930861686;3.0290156456080326;0.07474869657618366;0.6292221183281884;5.215277777777778;5.033695579734114;3.1511818531385956;1.3031149054613729;0.4135321178507876;3.374396061897278;7.366352629661557;3.9919565677642788;0.3991956567764279;0.6458333333333334;1.9436906576156616;13.920096397399902;;;;;;;;;;;;;;;;;5.0
direct_d2_base;2.271714616152975;3.0009356164284258;0.09182398424775173;0.6456943039028575;5.215277777777778;4.962442065278689;3.1511818531385956;1.2427237896269134;0.39436752543784587;3.2651887774467467;7.045676469802855;3.780487692356108;0.3780487692356108;0.6555555555555556;2.3758411407470703;14.614262580871582;;;;;;;;;;;;;;;;;6.0
direct_d2_extended;2.277967014108543;2.991424556779443;0.09757154389117884;0.6386019349907989;5.215277777777778;5.032996562592409;3.149357302089252;1.2826780343996487;0.4072824742841128;3.4116281270980835;7.335331678390503;3.9237035512924194;0.39237035512924195;0.643287037037037;1.9980279207229614;14.4144287109375;2.1475443652934496;2.6980842459450516;-0.06024095856543443;0.6605762549939205;4.725;4.968738627599345;2.6212235815794527;1.2522925784957781;0.47775114923282996;3.410255479812622;7.13765296936035;3.7273974895477284;0.41415527661641427;0.6402777777777777;2.749706506729126;13.398938179016113;
direct_d2_extended;2.2493398669693203;2.937328505668875;0.12991493840399326;0.6496458352012912;5.215277777777778;5.01935369140572;3.1511818531385956;1.2660033198430989;0.4017550807428496;3.516443467140198;7.226350069046016;3.7099066019058182;0.3709906601905818;0.6444444444444445;2.5977909564971924;14.33114242553711;;;;;;;;;;;;;;;;;1.0
direct_d2_extended;2.2757747792535357;2.9774342671843987;0.10599275750376569;0.6448489195732089;5.215277777777778;5.0379678001006445;3.1511818531385956;1.3352868423881548;0.42374160064999145;3.3958600759506226;7.513016438484191;4.117156362533568;0.41171563625335683;0.6555555555555556;2.149844169616699;13.82040023803711;;;;;;;;;;;;;;;;;2.0
direct_d2_extended;2.2709449258115555;2.962972846807047;0.11465606705707099;0.6547629721663614;5.215277777777778;5.051785732640161;3.1511818531385956;1.2766003273417232;0.40511794838822834;3.4343236446380616;7.365707302093504;3.931383657455443;0.3931383657455443;0.6347222222222222;2.544227123260498;14.4144287109375;;;;;;;;;;;;;;;;;3.0
direct_d2_extended;2.280896478229099;3.015770629126177;0.08282272224193565;0.635972384111898;5.215277777777778;4.98678661055035;3.1511818531385956;1.2694518789014395;0.40284945079797857;3.328978395462036;7.231900811195371;3.9029224157333346;0.3902922415733335;0.6388888888888888;2.1181774139404297;13.398938179016113;;;;;;;;;;;;;;;;;4.0
direct_d2_extended;2.289929324057367;3.01485384956065;0.08338027232285927;0.6196154782185446;5.215277777777778;5.074121311969227;3.1511818531385956;1.2858680978179207;0.40805899429040837;3.4642366766929626;7.264606928825378;3.8003702521324154;0.38003702521324156;0.6375;2.1197402477264404;13.576881408691406;;;;;;;;;;;;;;;;;5.0
direct_d2_extended;2.3009167103303803;3.0389615652674915;0.06866250581744804;0.6269677601157919;5.215277777777778;5.027964228888353;3.1511818531385956;1.2641868658529092;0.40117864495626354;3.40407657623291;7.2573797464370715;3.8533031702041614;0.38533031702041615;0.6486111111111111;1.9980279207229614;13.589118003845215;;;;;;;;;;;;;;;;;6.0
direct_d3_base;2.296191635451935;3.020756416984512;0.07978758999551427;0.6321923491294961;5.215277777777778;5.029672056050212;3.149357302089252;1.3150072925695893;0.4175478252966809;3.4025365114212036;7.472190737724304;4.069654226303101;0.40696542263031005;0.6305555555555555;1.6683729887008667;14.544435501098633;2.1681091151303713;2.7346891083041642;-0.08920465125987342;0.6518151815181518;4.725;4.991468724442853;2.6212235815794527;1.280392806380441;0.4884714205145841;3.4592572689056396;7.280457663536067;3.8212003946304276;0.4245778216256031;0.6520833333333333;2.6110103130340576;14.456938743591309;
direct_d3_base;2.298426094320085;2.988574655965003;0.0992901942959531;0.6256612570608804;5.215277777777778;5.017125760184394;3.1511818531385956;1.310310195115188;0.4158154800904656;3.43305641412735;7.6123859643936145;4.179329550266265;0.4179329550266265;0.6388888888888888;1.9992382526397705;14.099051475524902;;;;;;;;;;;;;;;;;1.0
direct_d3_base;2.2551040179199644;2.9725486431828374;0.10892427460019527;0.6482688834522421;5.215277777777778;4.998565153280894;3.1511818531385956;1.3176395866542587;0.4181413983905378;3.37644544839859;7.395388960838317;4.018943512439726;0.40189435124397266;0.6291666666666667;2.2412750720977783;14.298901557922363;;;;;;;;;;;;;;;;;2.0
direct_d3_base;2.3065722306569416;3.036043222598829;0.07045039082221471;0.6257253013282781;5.215277777777778;5.021867626243168;3.1511818531385956;1.3207551810936633;0.41913010503604653;3.387554037570953;7.343153548240659;3.955599510669706;0.3955599510669706;0.6375;2.0629007816314697;14.281213760375977;;;;;;;;;;;;;;;;;3.0
direct_d3_base;2.3065249948037994;3.040949378449413;0.06744371420560202;0.634115100357367;5.215277777777778;5.036091355979442;3.1511818531385956;1.3408565116799882;0.42550908648591235;3.41095826625824;7.63979365825653;4.22883539199829;0.422883539199829;0.6027777777777777;1.89907705783844;14.456938743591309;;;;;;;;;;;;;;;;;4.0
